Attack Type,Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Power (W),CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (m°C),CPU Power Cores (W),CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Current (A),Current (mA),Disk mmcblk0 Block Size (Ko),Disk mmcblk0 Read (Ko/s),Disk mmcblk0 Transfers,Disk mmcblk0 Usage (%),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p1 Transfers,Disk mmcblk0p1 Usage (%),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0p2 Transfers,Disk mmcblk0p2 Usage (%),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk1 Block Size (Ko),Disk mmcblk1 Read (Ko/s),Disk mmcblk1 Transfers,Disk mmcblk1 Usage (%),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p1 Transfers,Disk mmcblk1p1 Usage (%),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1p2 Transfers,Disk mmcblk1p2 Usage (%),Disk mmcblk1p2 Write (Ko/s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Disk Usage (%),Encrypted Files,Encrypted Files Size (Mo),Encryption Speed (o/s),GPU Power (W),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Usage (Mo),Network (Ko/s),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo),Voltage (V),Voltage Adjusted (V)
Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.57,42.0,,,0.42,,,,0.01,41.36,41.29,41.25,41.56,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (10%),ASUS Zenbook UX51VZ,1,Attack,8.47,61.22,,,0.25,,,,0.01,60.28,60.21,58.16,59.91,,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),ASUS Zenbook UX51VZ,1,Attack,17.7,79.57,,,0.48,,,,0.01,77.77,79.45,78.74,77.31,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,1,Attack,,59.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple M1 Pro,1,Idle,,37.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Attack,,65.26,39.4,,,,54.19,62.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,,41.4,5.08,,,,44.85,19.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_browser_open,,42.44,4.18,,,,52.45,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,,39.54,5.95,,,,45.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Recovery,,49.29,3.44,,,,52.86,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Attack,,77.32,98.1,,,,46.42,4.91,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,0.1
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,,50.31,25.1,,,,18.28,0.8,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,0.02
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle_browser_open,,52.19,32.09,,,,42.05,1.9,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.04
Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Recovery,,59.29,25.65,,,,18.12,2.28,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,0.05
Cryptojacking,CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,13.61,70.42,,,0.3,,,,0.25,68.37,69.46,67.55,68.56,,10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.3,76.83,,,0.0,,,,0.0,74.81,75.65,73.81,74.59,,12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,16.67,77.79,,,0.53,,,,0.01,75.48,77.14,74.9,75.09,,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,17.97,77.57,,,0.34,,,,0.0,75.35,77.0,74.8,75.13,,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,1,Attack,24.74,69.71,20.13,77.5,57.35,40.53,83.87,,0.04,64.46,65.74,64.3,64.81,,18.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.35,59.22,9.44,2.4,4.26,0.0,46.97,,0.01,53.26,53.87,52.06,52.3,,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,GMiner (GPU),HP Victus 16-d0417nf,1,Recovery,15.22,60.35,9.41,2.41,3.68,0.05,27.71,,0.02,54.27,55.98,53.98,53.42,,10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NBMiner (GPU),HP Victus 16-d0417nf,1,Attack,14.55,62.97,2.01,79.85,53.83,80.48,64.5,,0.03,57.74,58.42,57.35,57.01,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.17,57.26,5.75,2.4,2.27,0.0,56.17,,0.03,50.01,51.71,49.46,50.5,,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NBMiner (GPU),HP Victus 16-d0417nf,1,Recovery,16.84,62.2,6.13,3.99,4.81,7.69,55.41,,0.02,54.23,55.65,54.49,54.52,,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NiceHash (GPU),HP Victus 16-d0417nf,1,Attack,8.3,62.52,1.7,77.25,63.53,92.49,65.52,,0.09,57.18,58.53,56.79,56.47,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,16.95,59.08,6.35,2.4,12.69,0.14,64.22,,0.07,53.46,54.37,51.08,50.2,,12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,NiceHash (GPU),HP Victus 16-d0417nf,1,Recovery,15.73,62.69,6.1,2.4,3.46,0.25,62.28,,0.04,56.66,56.33,53.48,51.9,,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Attack,12.81,51.6,30.55,74.65,49.04,87.15,69.99,,0.03,47.63,50.21,47.53,48.78,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,6.43,46.94,8.46,2.4,33.92,0.0,65.13,,0.1,40.53,41.16,40.2,40.43,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Recovery,6.37,46.23,10.44,9.35,35.64,8.39,65.29,,0.06,39.97,40.89,39.77,39.91,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Attack,18.19,72.7,11.71,45.79,62.98,91.91,75.8,,0.04,59.99,61.45,63.07,63.89,,13.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,15.84,51.99,11.24,2.4,2.72,0.0,73.19,,0.0,45.34,46.22,45.19,45.34,,11.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Recovery,16.85,60.64,12.1,4.22,5.27,3.24,77.47,,0.01,54.81,55.04,54.24,53.79,,12.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,1,Attack,22.25,83.93,89.36,7.93,57.8,47.65,77.03,,2.32,81.36,83.89,82.59,82.06,,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,5.11,58.25,6.06,2.0,0.0,0.0,51.25,,0.06,57.24,57.23,56.47,57.33,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,1,Attack,,67.5,100.0,,,98.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,1,Idle,,50.0,10.0,,,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,1,Attack,7.06,48.56,4.51,70.51,46.55,89.78,60.71,,0.06,42.58,43.37,42.6,42.43,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,5.01,44.78,3.41,2.4,28.56,0.0,57.72,,0.05,38.78,39.26,37.55,38.18,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,WildRig Multi (GPU),HP Victus 16-d0417nf,1,Recovery,5.91,48.3,4.0,12.2,33.16,10.16,57.81,,0.06,41.83,42.52,41.5,41.52,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 3B 1GB,1,Attack,,84.4,100.0,,,,37.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 3B 1GB,1,Idle,,50.5,1.12,,,,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 2GB,1,Attack,,81.3,100.0,,,,23.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 2GB,1,Idle,,43.8,0.5,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,1,Attack,,,100.0,,,,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,1,Idle,,,0.1,,,,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,2,Attack,,,100.0,,,,70.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,2,Idle,,,1.1,,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,3,Attack,,83.7,100.0,,,10.0,83.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 4B 4GB,3,Idle,,55.0,1.0,,,1.0,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 5,1,Attack,,63.63,100.0,,,,86.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,XMRig (CPU),Raspberry Pi 5,1,Idle,,48.18,1.2,,,,27.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,1,Attack,20.38,80.57,10.33,86.22,62.81,92.13,66.11,,0.02,74.93,69.98,65.72,63.24,,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.22,54.8,8.54,2.4,5.01,21.67,65.11,,0.06,50.38,49.46,46.18,46.5,,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,lolMiner (GPU),HP Victus 16-d0417nf,1,Recovery,13.87,59.94,8.96,2.4,3.0,16.8,63.11,,0.05,52.99,55.68,50.42,50.48,,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,1,Attack,24.78,75.92,15.81,51.52,42.92,0.36,68.54,,0.08,64.91,72.02,59.47,60.74,,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,1,Idle,18.85,63.43,12.27,2.4,4.11,0.0,65.46,,0.05,56.06,59.21,51.61,52.1,,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,miniZ (GPU),HP Victus 16-d0417nf,1,Recovery,25.24,73.75,16.01,37.88,29.15,0.0,68.36,,0.11,65.7,69.5,59.8,57.2,,20.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Attack,,45.22,25.16,,,,19.97,3.86,,,,,,45216.12,,74.84,3.35,20.18,1.61,0.77,772.82,5.08,1884.5,23.08,2.3,6.88,0.0,0.0,0.0,0.0,0.0,5.08,1884.5,23.08,2.3,6.88,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.2,8.5,47.67,12.44,84.35,3031.08,604.58,3787.2,,0.0,0.0,0.0,0.0,0.03,-0.12,0.0,0.0,0.0,0.0,0.42,0.62,0.0,2.06,1216.23,0.16,3.38,0.0,0.0,,
Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,,42.94,0.36,,,,6.19,2.93,,,,,,42936.96,,99.64,0.22,0.09,0.04,0.59,586.21,2.79,16.22,1.57,0.24,7.95,0.0,0.0,0.0,0.0,0.0,2.79,16.22,1.57,0.24,7.95,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.2,8.5,51.95,13.22,90.32,3552.74,74.54,3787.2,,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.1,0.08,0.0,2.18,112.56,0.0,1.01,0.0,0.0,,
Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Recovery,,45.63,0.31,,,,4.49,3.28,,,,,,45627.64,,99.69,0.2,0.04,0.05,0.66,655.46,3.89,14.43,1.31,0.25,8.0,0.0,0.0,0.0,0.0,0.0,3.89,14.43,1.31,0.26,8.0,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.2,8.5,14.91,4.36,32.1,3617.02,44.25,3787.2,,0.0,0.0,0.0,0.0,0.09,-0.09,0.0,0.0,0.0,0.0,1.32,0.82,0.0,2.13,146.45,0.0,1.0,0.0,0.0,,
Denial of Service,Goloris (HTTP),HOSAFE HX-2PT1,1,Attack,,,,,,,,1.29,,,,,,,,,,,,0.11,107.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,,,,,,,,1.2,,,,,,,,,,,,0.1,99.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),HOSAFE HX-2PT1,1,Recovery,,,,,,,,1.06,,,,,,,,,,,,0.09,88.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),Raspberry Pi 4B 4GB,1,Attack,,,1.34,,,,5.83,3.09,,,,,,,,98.66,0.98,0.34,0.04,0.62,618.78,,,,,,,,,,,,,,,,3.1,2.63,0.92,0.16,7.08,0.0,0.0,0.0,0.0,0.0,3.1,2.63,0.92,0.16,7.08,,,,,,,,28.0,0.0,0.2,5.5,41.08,11.5,77.47,3566.32,80.16,3787.2,,0.0,0.0,0.0,0.0,5.78,-9.42,0.0,0.0,0.0,0.0,112.61,120.52,0.0,0.05,3376.31,0.1,1.41,0.0,0.0,,
Denial of Service,Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,,,0.16,,,,5.43,2.43,,,,,,,,99.84,0.07,0.04,0.05,0.49,485.8,,,,,,,,,,,,,,,,4.37,16.8,1.21,0.25,10.42,0.0,0.0,0.0,0.0,0.0,4.37,16.8,1.21,0.25,10.42,,,,,,,,28.0,0.0,0.2,5.5,40.74,11.18,73.37,3581.38,65.87,3787.2,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.08,60.51,0.02,1.0,0.0,0.0,,
Denial of Service,Goloris (HTTP),Raspberry Pi 4B 4GB,1,Recovery,,,0.09,,,,5.41,2.53,,,,,,,,99.91,0.04,0.01,0.03,0.51,506.56,,,,,,,,,,,,,,,,2.07,0.0,0.81,0.14,6.24,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.81,0.14,6.24,,,,,,,,28.0,0.0,0.2,5.5,41.39,11.82,77.63,3582.48,69.74,3787.2,,0.0,0.0,0.0,0.0,0.01,-0.5,0.0,0.0,0.0,0.0,0.22,7.82,0.0,0.06,67.85,0.0,1.0,0.0,0.0,,
