Attack Type,Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Power (W),CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (m°C),CPU Power Cores (W),CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Current (A),Current (mA),Disk mmcblk0 Block Size (Ko),Disk mmcblk0 Read (Ko/s),Disk mmcblk0 Transfers,Disk mmcblk0 Usage (%),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p1 Transfers,Disk mmcblk0p1 Usage (%),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0p2 Transfers,Disk mmcblk0p2 Usage (%),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk1 Block Size (Ko),Disk mmcblk1 Read (Ko/s),Disk mmcblk1 Transfers,Disk mmcblk1 Usage (%),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p1 Transfers,Disk mmcblk1p1 Usage (%),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1p2 Transfers,Disk mmcblk1p2 Usage (%),Disk mmcblk1p2 Write (Ko/s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Disk Usage (%),Encrypted Files,Encrypted Files Size (Mo),Encryption Speed (o/s),GPU Power (W),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Usage (Mo),Network (Ko/s),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo),Voltage (V),Voltage Adjusted (V)
Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,1,Attack,,41.34,0.26,,,,6.3,2.89,,,,,,41339.61,,99.74,0.17,0.04,0.03,0.58,578.4,2.6,0.0,1.1,0.2,8.43,0.0,0.0,0.0,0.0,0.0,2.6,0.0,1.1,0.2,8.43,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.2,8.5,49.41,12.48,89.56,3548.53,79.13,3787.2,,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,2.04,105.11,0.01,1.01,0.0,0.0,,
Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,,40.72,0.31,,,,5.9,2.9,,,,,,40718.68,,99.69,0.19,0.06,0.06,0.58,580.77,4.0,42.9,1.93,0.34,10.18,0.0,0.0,0.0,0.0,0.0,4.0,42.9,1.93,0.35,10.18,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.2,8.5,48.49,11.57,83.6,3563.85,68.9,3787.2,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,2.0,108.27,0.0,1.0,0.0,0.0,,
Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,1,Recovery,,41.68,0.27,,,,6.19,2.91,,,,,,41682.17,,99.73,0.18,0.05,0.03,0.58,582.24,2.36,0.12,1.12,0.18,8.77,0.0,0.0,0.0,0.0,0.0,2.36,0.12,1.12,0.18,8.77,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,0.2,8.5,49.73,12.79,89.71,3552.93,74.93,3787.2,,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.1,0.04,0.0,2.06,106.82,0.0,1.01,0.0,0.0,,
Denial of Service,Hping3 (SYN),D-Link DIR-822,1,Attack,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),D-Link DIR-822,1,Idle,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),HOSAFE HX-2PT1,1,Attack,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),HOSAFE HX-2PT1,1,Idle,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),Huawei H151-381,1,Attack,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),Huawei H151-381,1,Idle,,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),TP-Link Tapo C200,1,Attack,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),TP-Link Tapo C200,1,Idle,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),HOSAFE HX-2PT1,1,Attack,,,,,,,,1.28,,,,,,,,,,,,0.11,106.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,,,,,,,,1.26,,,,,,,,,,,,0.11,105.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),HOSAFE HX-2PT1,1,Recovery,,,,,,,,1.08,,,,,,,,,,,,0.09,89.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Attack,,,43.71,,,,8.08,4.88,,,,,,,,56.29,29.84,13.85,0.02,0.98,976.69,,,,,,,,,,,,,,,,2.94,0.0,0.81,0.16,6.92,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.81,0.16,6.92,,,,,,,,28.0,0.0,0.2,7.7,70.21,15.01,145.82,3481.27,140.6,3787.2,,0.0,0.0,0.0,0.0,184.06,-12455.43,0.0,0.0,0.0,0.0,288.21,19617.57,0.0,0.07,39821.25,0.0,2.74,0.0,0.0,,
Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,,,0.16,,,,7.41,2.32,,,,,,,,99.84,0.06,0.08,0.02,0.46,464.65,,,,,,,,,,,,,,,,2.66,0.0,0.72,0.12,6.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.72,0.12,6.0,,,,,,,,28.0,0.0,0.2,7.7,69.9,14.69,145.67,3506.73,113.06,3787.2,,0.0,0.0,0.0,0.0,0.01,-0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.02,50.43,0.0,1.01,0.0,0.0,,
Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Recovery,,,0.08,,,,7.08,2.51,,,,,,,,99.92,0.04,0.02,0.02,0.5,502.09,,,,,,,,,,,,,,,,2.29,0.0,0.7,0.12,5.48,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.7,0.12,5.48,,,,,,,,28.0,0.0,0.2,7.7,70.53,15.32,145.94,3519.14,112.93,3787.2,,0.0,0.0,0.0,0.0,0.58,-0.0,0.0,0.0,0.0,0.0,1.02,0.02,0.0,0.06,54.13,0.0,1.01,0.0,0.0,,
Denial of Service,MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,,,,,,,,1.54,,,,,,,,,,,,0.13,127.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (TCP),HOSAFE HX-2PT1,1,Idle,,,,,,,,1.18,,,,,,,,,,,,0.1,97.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,,,,,,,,1.19,,,,,,,,,,,,0.1,99.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Attack,,,40.21,,,,28.4,4.64,,,,,,,,59.79,29.82,10.37,0.03,0.93,928.54,,,,,,,,,,,,,,,,2.86,0.0,0.9,0.17,6.88,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.9,0.17,6.88,,,,,,,,28.0,0.0,0.2,7.7,168.28,41.87,823.64,2711.5,746.87,3787.2,,0.0,0.0,0.0,0.0,50.1,-11242.06,0.0,0.0,0.0,0.0,981.71,7651.49,0.0,0.09,44315.51,0.0,2.66,0.0,0.0,,
Denial of Service,MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,,,0.22,,,,27.54,2.46,,,,,,,,99.78,0.06,0.1,0.05,0.49,492.88,,,,,,,,,,,,,,,,3.24,8.22,1.66,0.25,12.12,0.0,0.0,0.0,0.0,0.0,3.24,8.22,1.66,0.26,12.12,,,,,,,,28.0,0.0,0.2,7.7,168.15,41.74,823.49,2744.06,719.3,3787.2,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.06,51.69,0.0,1.01,0.0,0.0,,
Denial of Service,MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Recovery,,,0.07,,,,27.34,2.46,,,,,,,,99.93,0.03,0.01,0.03,0.49,491.37,,,,,,,,,,,,,,,,2.9,0.0,0.63,0.12,5.76,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.63,0.12,5.76,,,,,,,,28.0,0.0,0.2,7.7,168.8,42.0,823.76,2751.7,718.95,3787.2,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,42.51,0.0,1.0,0.0,0.0,,
Denial of Service,MHDDoS (UDP),HOSAFE HX-2PT1,1,Attack,,,,,,,,1.45,,,,,,,,,,,,0.12,120.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (UDP),HOSAFE HX-2PT1,1,Idle,,,,,,,,1.33,,,,,,,,,,,,0.11,110.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (UDP),HOSAFE HX-2PT1,1,Recovery,,,,,,,,1.25,,,,,,,,,,,,0.1,104.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Attack,,,43.1,,,,8.33,3.55,,,,,,,,56.9,30.12,12.96,0.02,0.71,709.26,,,,,,,,,,,,,,,,3.48,0.02,1.21,0.24,9.79,0.0,0.0,0.0,0.0,0.0,3.48,0.02,1.21,0.24,9.79,,,,,,,,28.0,0.0,0.2,7.7,68.61,13.84,145.38,3471.88,142.98,3787.2,,0.0,0.0,3.14,-3.14,0.01,-0.06,0.0,0.0,5.61,5.61,0.07,1.5,0.0,0.06,50633.4,0.0,2.83,0.0,0.0,,
Denial of Service,MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,,,0.17,,,,7.53,2.43,,,,,,,,99.83,0.05,0.09,0.03,0.49,486.9,,,,,,,,,,,,,,,,3.25,0.0,0.72,0.12,6.42,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.72,0.12,6.42,,,,,,,,28.0,0.0,0.2,7.7,68.26,13.53,145.25,3502.07,112.97,3787.2,,0.0,0.0,0.0,-0.0,0.01,-0.0,0.0,0.0,0.02,0.02,0.09,0.09,0.0,0.02,51.37,0.0,1.0,0.0,0.0,,
Denial of Service,MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Recovery,,,0.08,,,,7.5,2.37,,,,,,,,99.92,0.03,0.02,0.02,0.47,473.75,,,,,,,,,,,,,,,,2.14,0.0,0.63,0.11,4.75,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.63,0.12,4.75,,,,,,,,28.0,0.0,0.2,7.7,69.26,14.16,145.52,3503.01,112.58,3787.2,,0.0,0.0,0.16,-0.16,0.01,-0.01,0.0,0.0,0.29,0.29,0.13,0.08,0.0,0.04,48.54,0.0,1.0,0.0,0.0,,
Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,,49.37,33.45,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,,44.17,24.62,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Recovery,,48.28,24.63,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Attack,,56.37,5.63,,,,19.5,3.12,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.05,5.33,,,,,,,,,,,,,,,,,,,,2.38,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,,55.79,1.3,,,,19.29,2.87,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.79,0.38,,,,,,,,,,,,,,,,,,,,2.39,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Recovery,,55.65,0.32,,,,19.3,2.85,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.44,0.73,,,,,,,,,,,,,,,,,,,,2.39,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Attack,,55.06,0.56,,,,22.02,2.92,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.99,8.76,,,,,,,,,,,,,,,,,,,,2.39,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,,55.37,1.64,,,,22.11,2.88,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.17,0.57,,,,,,,,,,,,,,,,,,,,2.39,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Recovery,,55.01,0.33,,,,21.52,2.79,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.04,2.14,,,,,,,,,,,,,,,,,,,,2.4,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Attack,,54.84,0.53,,,,21.82,2.99,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.65,13.46,,,,,,,,,,,,,,,,,,,,2.39,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,,54.82,0.14,,,,21.51,2.78,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.98,0.36,,,,,,,,,,,,,,,,,,,,2.4,
Denial of Service,Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Recovery,,54.97,0.34,,,,21.6,2.83,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.08,8.16,,,,,,,,,,,,,,,,,,,,2.4,
Ransomware,Bstry,Raspberry Pi 4B 2GB,1,Attack,,55.64,19.13,,,,20.33,3.4,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.32,50.09,260.56,0.66,151188.0,,,,,,,,,,,584.21,0.0,,,,,,,,,,,,,,,,,,,,2.38,
Ransomware,Bstry,Raspberry Pi 4B 2GB,1,Idle,,54.72,0.38,,,,20.25,2.75,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,580.92,0.0,,,,,,,,,,,,,,,,,,,,2.4,
Ransomware,Bstry,Raspberry Pi 4B 2GB,1,Recovery,,55.1,0.45,,,,20.3,2.73,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02,95.2,500.0,1.3,0.0,,,,,,,,,,,582.2,0.0,,,,,,,,,,,,,,,,,,,,2.4,
Ransomware,Jigsaw,Raspberry Pi 4B 4GB,1,Attack,,70.1,92.0,,,,66.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Jigsaw,Raspberry Pi 4B 4GB,1,Idle,,48.4,11.0,,,,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Jigsaw,Raspberry Pi 4B 4GB,1,Recovery,,52.8,18.0,,,,14.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Jigsaw,Windows 10 VM,1,Attack,,70.5,93.0,,,,68.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Jigsaw,Windows 10 VM,1,Idle,,49.8,12.0,,,,11.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Jigsaw,Windows 10 VM,1,Recovery,,53.3,20.0,,,,15.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Petya,Raspberry Pi 4B 4GB,1,Attack,,70.2,94.0,,,,67.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Petya,Raspberry Pi 4B 4GB,1,Idle,,48.1,11.0,,,,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Petya,Raspberry Pi 4B 4GB,1,Recovery,,52.9,19.0,,,,14.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Petya,Windows 10 VM,1,Attack,,71.8,97.0,,,,69.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Petya,Windows 10 VM,1,Idle,,48.9,12.0,,,,11.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Petya,Windows 10 VM,1,Recovery,,54.1,19.0,,,,15.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Randomware,Raspberry Pi 4B 2GB,1,Attack,,58.15,1.22,,,,20.2,3.45,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.37,67.83,561.4,1.36,204863.4,,,,,,,,,,,607.08,0.0,,,,,,,,,,,,,,,,,,,,2.37,
Ransomware,Randomware,Raspberry Pi 4B 2GB,1,Idle,,57.62,0.35,,,,20.21,3.18,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,608.48,0.0,,,,,,,,,,,,,,,,,,,,2.38,
Ransomware,Randomware,Raspberry Pi 4B 2GB,1,Recovery,,58.49,0.72,,,,20.2,3.29,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02,96.9,802.0,1.95,0.0,,,,,,,,,,,606.7,0.0,,,,,,,,,,,,,,,,,,,,2.38,
Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,1,Attack,,65.42,23.38,,,,21.48,3.86,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.25,16.2,370.36,,1797196.41,,,,,,,,,,,636.4,0.0,,,,,,,,,,,,,,,,,,,,2.36,
Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,1,Idle,,59.51,0.32,,,,21.33,3.26,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,631.22,0.0,,,,,,,,,,,,,,,,,,,,2.38,
Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,1,Recovery,,63.61,0.15,,,,21.3,3.28,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.08,39.27,1417.0,,0.0,,,,,,,,,,,630.28,0.0,,,,,,,,,,,,,,,,,,,,2.38,
Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,2,Attack,,66.28,25.13,,,,22.36,5.81,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.85,17.48,419.86,87.97,1880687.42,,,,,,,,,,,649.27,0.0,,,,,,,,,,,,,,,,,,,,2.28,
Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,,59.63,0.26,,,,21.66,4.49,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,631.59,0.0,,,,,,,,,,,,,,,,,,,,2.33,
Ransomware,Ransomware-PoC,Raspberry Pi 4B 2GB,2,Recovery,,63.78,0.09,,,,21.93,4.58,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03,38.49,1432.0,193.7,0.0,,,,,,,,,,,645.24,0.0,,,,,,,,,,,,,,,,,,,,2.33,
Ransomware,Rex,Raspberry Pi 4B 4GB,1,Attack,,72.5,94.0,,,,70.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Rex,Raspberry Pi 4B 4GB,1,Idle,,49.6,12.0,,,,11.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Rex,Raspberry Pi 4B 4GB,1,Recovery,,53.9,21.0,,,,15.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Rex,Windows 10 VM,1,Attack,,73.9,99.0,,,,72.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Rex,Windows 10 VM,1,Idle,,50.7,14.0,,,,13.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Rex,Windows 10 VM,1,Recovery,,55.2,22.0,,,,16.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Thanos,Raspberry Pi 4B 4GB,1,Attack,,73.3,96.0,,,,71.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Thanos,Raspberry Pi 4B 4GB,1,Idle,,49.2,12.0,,,,12.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Thanos,Raspberry Pi 4B 4GB,1,Recovery,,54.0,22.0,,,,16.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Thanos,Windows 10 VM,1,Attack,,75.4,96.0,,,,74.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Thanos,Windows 10 VM,1,Idle,,50.1,15.0,,,,13.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,Thanos,Windows 10 VM,1,Recovery,,54.9,23.0,,,,17.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,WannaCry,Raspberry Pi 4B 4GB,1,Attack,,71.4,95.0,,,,69.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,WannaCry,Raspberry Pi 4B 4GB,1,Idle,,48.7,13.0,,,,11.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,WannaCry,Raspberry Pi 4B 4GB,1,Recovery,,53.5,20.0,,,,15.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,WannaCry,Windows 10 VM,1,Attack,,72.6,98.0,,,,71.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,WannaCry,Windows 10 VM,1,Idle,,49.3,13.0,,,,12.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,
Ransomware,WannaCry,Windows 10 VM,1,Recovery,,53.8,21.0,,,,16.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,,,,,,,,,,,,,,,,,,,,,,
